version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D4;D5;D6;D9;D11;D13
0.2;05914000;13.09.2020;OB-Wahl;1065;1065 Fachhochschule;;822;278;0;1100;231;0;2;229;49;130;16;6;23;3;1;1
0.2;05914000;13.09.2020;OB-Wahl;1071;1071 Am Waldesrand;;726;330;0;1056;305;2;1;304;74;174;16;4;32;1;0;3
0.2;05914000;13.09.2020;OB-Wahl;1072;1072 Alt-Emst;;858;417;0;1275;435;0;4;431;111;267;26;1;22;1;0;3
0.2;05914000;13.09.2020;OB-Wahl;1073;1073 Fritz-Steinhoff-Park;;944;233;0;1177;345;0;16;329;95;153;19;13;36;4;1;8
0.2;05914000;13.09.2020;OB-Wahl;1074;1074 Max-Planck-Str. / Haßley;;954;356;0;1310;263;1;3;260;67;137;17;8;25;0;2;4
0.2;05914000;13.09.2020;OB-Wahl;1075;1075 Bissingheim;;744;360;0;1104;377;2;2;375;113;192;22;3;35;0;0;10
0.2;05914000;13.09.2020;OB-Wahl;1081;1081 Haldener Str.;;948;305;0;1253;379;3;7;372;93;189;29;9;33;2;1;16
0.2;05914000;13.09.2020;OB-Wahl;1082;1082 Rembergstr.;;1079;205;0;1284;203;0;5;198;63;78;7;11;32;2;0;5
0.2;05914000;13.09.2020;OB-Wahl;1083;1083 Eickertstr.;;1140;247;0;1387;222;2;5;217;49;111;12;4;24;4;1;12
0.2;05914000;13.09.2020;OB-Wahl;1084;1084 Bülowstr.;;1102;243;0;1345;282;0;7;275;67;121;25;10;38;6;1;7
0.2;05914000;13.09.2020;OB-Wahl;1085;1085 Eppenhauser Str.;;754;158;0;912;152;4;0;152;52;66;5;4;15;3;0;7
0.2;05914000;13.09.2020;OB-Wahl;1091;1091 Minervastr.;;1146;183;0;1329;312;1;3;309;92;96;29;18;37;4;0;33
0.2;05914000;13.09.2020;OB-Wahl;1092;1092 St.-Michael-Kirche;;1169;202;0;1371;308;2;9;299;110;89;24;16;25;3;3;29
0.2;05914000;13.09.2020;OB-Wahl;1093;1093 Stadtgarten;;882;435;0;1317;338;0;4;334;71;170;34;16;23;1;0;19
0.2;05914000;13.09.2020;OB-Wahl;1094;1094 Sternwarte;;926;253;0;1179;287;0;5;282;74;113;26;12;33;4;1;19
0.2;05914000;13.09.2020;OB-Wahl;1101;1101 Cunosiedlung;;964;248;0;1212;283;2;1;282;69;113;33;6;36;6;2;17
0.2;05914000;13.09.2020;OB-Wahl;1102;1102 Kuhlerkamp;;879;373;0;1252;412;3;3;409;87;229;22;12;37;2;4;16
0.2;05914000;13.09.2020;OB-Wahl;1103;1103 Wehringhauser Str. / Philippshöhe;;823;45;0;868;108;0;2;106;31;25;12;11;25;0;0;2
0.2;05914000;13.09.2020;OB-Wahl;1104;1104 Södingstr.;;701;121;0;822;59;1;1;58;11;21;1;2;10;2;0;11
0.2;05914000;13.09.2020;OB-Wahl;1105;1105 Feuerwache Mitte;;870;111;0;981;269;1;4;265;84;102;25;21;14;4;2;13
0.2;05914000;13.09.2020;OB-Wahl;1106;1106 Wilhelmsplatz;;762;111;0;873;127;0;3;124;35;36;12;7;10;3;1;20
0.2;05914000;13.09.2020;OB-Wahl;2111;2111 Brockhausen;;835;174;0;1009;192;0;2;190;64;78;9;6;27;3;0;3
0.2;05914000;13.09.2020;OB-Wahl;2112;2112 Niedernhofstr.;;740;232;0;972;242;1;5;237;45;130;13;8;35;2;0;4
0.2;05914000;13.09.2020;OB-Wahl;2113;2113 Hilgenland;;658;180;0;838;226;0;4;222;57;118;15;3;20;1;0;8
0.2;05914000;13.09.2020;OB-Wahl;2114;2114 Hagener Str.;;1036;320;0;1356;426;1;5;421;78;250;27;6;44;6;1;9
0.2;05914000;13.09.2020;OB-Wahl;2115;2115 Boele Kirche;;925;147;0;1072;258;0;8;250;67;123;16;7;26;1;1;9
0.2;05914000;13.09.2020;OB-Wahl;2116;2116 Allensteiner Str. / Hengstey;;798;246;0;1044;235;0;5;230;49;113;14;5;35;4;0;10
0.2;05914000;13.09.2020;OB-Wahl;2121;2121 Fritz-Steinhoff-Schule;;992;146;0;1138;229;1;6;223;69;86;13;10;29;3;3;10
0.2;05914000;13.09.2020;OB-Wahl;2122;2122 Borgenfeldstr.;;684;169;0;853;179;0;1;178;40;88;8;9;26;0;0;7
0.2;05914000;13.09.2020;OB-Wahl;2123;2123 Knüwenstr.;;823;136;0;959;253;0;6;247;79;99;12;9;39;1;2;6
0.2;05914000;13.09.2020;OB-Wahl;2124;2124 Steinhausstr.;;801;125;0;926;199;0;11;188;53;73;16;10;32;0;2;2
0.2;05914000;13.09.2020;OB-Wahl;2125;2125 Bathey;;563;166;0;729;220;0;6;214;45;107;16;9;30;2;0;5
0.2;05914000;13.09.2020;OB-Wahl;2126;2126 Garenfeld;;1122;351;0;1473;546;2;8;538;113;300;45;10;45;4;1;20
0.2;05914000;13.09.2020;OB-Wahl;2131;2131 Helfer Str.;;750;184;0;934;235;2;4;231;47;115;16;8;38;1;1;5
0.2;05914000;13.09.2020;OB-Wahl;2132;2132 AWO-Heim Helfe;;857;156;0;1013;217;0;3;214;65;96;14;6;26;1;1;5
0.2;05914000;13.09.2020;OB-Wahl;2133;2133 Louise-Schröder-Str.;;765;153;0;918;248;3;6;242;49;130;23;3;32;2;0;3
0.2;05914000;13.09.2020;OB-Wahl;2134;2134 Fley;;697;216;0;913;362;0;3;359;84;192;28;11;37;1;0;6
0.2;05914000;13.09.2020;OB-Wahl;2135;2135 Buschstr.;;742;269;0;1011;212;0;2;210;41;105;19;8;33;1;1;2
0.2;05914000;13.09.2020;OB-Wahl;2136;2136 Pappelstr.;;699;148;0;847;238;0;3;235;81;110;12;7;15;2;0;8
0.2;05914000;13.09.2020;OB-Wahl;2141;2141 Freiligrathstr.;;845;152;0;997;248;0;3;245;69;103;18;9;39;1;2;4
0.2;05914000;13.09.2020;OB-Wahl;2142;2142 Sonntagstr.;;1017;233;0;1250;388;2;14;374;67;190;29;9;62;7;1;9
0.2;05914000;13.09.2020;OB-Wahl;2143;2143 Wilhelm-Leuschner-Str.;;806;192;0;998;308;4;5;303;76;163;11;12;27;4;0;10
0.2;05914000;13.09.2020;OB-Wahl;2144;2144 Hügelstr.;;885;323;0;1208;342;4;2;340;63;216;18;2;33;2;0;6
0.2;05914000;13.09.2020;OB-Wahl;2145;2145 Hamecke;;800;244;0;1044;316;1;3;313;73;174;20;7;29;1;2;7
0.2;05914000;13.09.2020;OB-Wahl;2151;2151 Masurenstr. / Aehringhausen / Voßacker;;1334;241;0;1575;438;1;23;415;162;159;28;11;34;3;3;15
0.2;05914000;13.09.2020;OB-Wahl;2152;2152 Vorhalle-Zentrum;;1235;228;0;1463;379;0;10;369;128;144;26;15;41;1;0;14
0.2;05914000;13.09.2020;OB-Wahl;2153;2153 Wielandplatz / Becheltestr.;;1516;204;0;1720;259;6;17;242;75;96;19;12;31;1;3;5
0.2;05914000;13.09.2020;OB-Wahl;2154;2154 Lindenstr. / Funkenhausen;;1281;332;0;1613;467;0;16;451;142;191;40;12;48;5;2;11
0.2;05914000;13.09.2020;OB-Wahl;3161;3161 Halden;;942;336;0;1278;445;0;4;441;86;249;34;4;49;8;0;11
0.2;05914000;13.09.2020;OB-Wahl;3162;3162 Bandstahlstr.;;797;346;0;1143;439;6;11;428;91;268;26;7;26;0;2;8
0.2;05914000;13.09.2020;OB-Wahl;3163;3163 Herbeck;;434;86;0;520;206;2;2;204;48;123;11;3;16;2;0;1
0.2;05914000;13.09.2020;OB-Wahl;3164;3164 Berchum;;1022;405;0;1427;495;4;11;484;94;306;27;6;33;4;0;14
0.2;05914000;13.09.2020;OB-Wahl;3165;3165 Reh / Henkhausen;;674;230;0;904;382;2;7;375;85;206;32;15;28;1;0;8
0.2;05914000;13.09.2020;OB-Wahl;3166;3166 Kirchenberg;;626;273;0;899;260;0;3;257;73;140;22;4;12;0;0;6
0.2;05914000;13.09.2020;OB-Wahl;3171;3171 Im Gersegge;;793;255;0;1048;314;0;2;312;85;149;21;4;34;4;0;15
0.2;05914000;13.09.2020;OB-Wahl;3172;3172 Wiesenstr.;;916;166;0;1082;271;1;5;266;92;100;19;18;22;1;1;13
0.2;05914000;13.09.2020;OB-Wahl;3173;3173 Im Sibb;;928;246;0;1174;329;0;12;317;80;160;15;12;27;2;0;21
0.2;05914000;13.09.2020;OB-Wahl;3174;3174 Auf der Heide;;788;253;0;1041;359;0;10;349;83;196;21;12;26;5;0;6
0.2;05914000;13.09.2020;OB-Wahl;3175;3175 Elsey;;925;183;0;1108;282;0;3;279;84;118;21;16;30;3;0;7
0.2;05914000;13.09.2020;OB-Wahl;3176;3176 Bezirksverwaltungsstelle Hohenlimburg;;680;147;0;827;194;0;7;187;46;91;17;11;17;0;0;5
0.2;05914000;13.09.2020;OB-Wahl;3181;3181 Oeger Str. / Oege;;962;342;0;1304;239;0;7;232;75;85;20;7;20;2;1;22
0.2;05914000;13.09.2020;OB-Wahl;3182;3182 Wilhelmstr.;;714;210;0;924;243;0;3;240;66;98;26;9;30;1;0;10
0.2;05914000;13.09.2020;OB-Wahl;3183;3183 Nahmertal;;712;199;0;911;222;0;3;219;63;78;32;8;25;1;0;12
0.2;05914000;13.09.2020;OB-Wahl;3184;3184 Wesselbach;;764;270;0;1034;223;1;3;220;79;96;16;0;19;3;1;6
0.2;05914000;13.09.2020;OB-Wahl;3185;3185 Wesselbachstr.;;756;256;0;1012;298;5;10;288;66;160;25;3;21;5;0;8
0.2;05914000;13.09.2020;OB-Wahl;3191;3191 Holthausen;;1085;329;0;1414;511;2;7;504;108;282;34;9;48;5;1;17
0.2;05914000;13.09.2020;OB-Wahl;3192;3192 Elseyer Kirchplatz / Am Somborn;;1179;311;0;1490;343;0;4;339;106;138;28;12;41;4;2;8
0.2;05914000;13.09.2020;OB-Wahl;3193;3193 Mozartstr. / Alter Henkhauser Weg;;1305;226;0;1531;336;18;16;320;98;139;28;12;33;1;0;9
0.2;05914000;13.09.2020;OB-Wahl;3194;3194 Wachtelweg / Am Berge;;1138;366;0;1504;402;1;16;386;138;151;34;8;40;3;2;10
0.2;05914000;13.09.2020;OB-Wahl;4201;4201 Springe / Tuchmacherstr.;;1761;221;0;1982;314;0;8;306;88;108;17;31;45;2;3;12
0.2;05914000;13.09.2020;OB-Wahl;4202;4202 Oberhagen;;1188;93;0;1281;175;2;10;165;46;76;10;6;21;1;1;4
0.2;05914000;13.09.2020;OB-Wahl;4203;4203 Untere Selbecker Str.;;750;146;0;896;151;0;0;151;38;64;15;6;19;0;2;7
0.2;05914000;13.09.2020;OB-Wahl;4204;4204 Hüttenbergstr.;;801;251;0;1052;228;0;2;226;59;100;17;4;38;1;0;7
0.2;05914000;13.09.2020;OB-Wahl;4211;4211 Sunderlohstr.;;615;117;0;732;176;4;4;172;49;70;8;8;25;1;0;11
0.2;05914000;13.09.2020;OB-Wahl;4212;4212 Selbecke;;830;180;0;1010;313;0;5;308;78;143;22;13;42;3;1;6
0.2;05914000;13.09.2020;OB-Wahl;4213;4213 Gesamtschule Eilpe;;899;196;0;1095;296;0;5;291;68;141;29;14;28;0;0;11
0.2;05914000;13.09.2020;OB-Wahl;4214;4214 In der Welle;;1265;267;0;1532;373;0;5;368;89;152;36;15;58;5;0;13
0.2;05914000;13.09.2020;OB-Wahl;4215;4215 Hohenfor;;892;219;0;1111;245;0;0;245;60;124;19;10;31;1;0;0
0.2;05914000;13.09.2020;OB-Wahl;4221;4221 Delstern-Süd;;379;102;0;481;135;1;5;130;36;66;10;2;8;2;0;6
0.2;05914000;13.09.2020;OB-Wahl;4222;4222 Zum Bollwerk / Ambrock;;850;299;0;1149;376;2;3;373;54;217;20;12;49;2;1;18
0.2;05914000;13.09.2020;OB-Wahl;4223;4223 Priorei;;739;204;0;943;279;2;7;272;66;150;13;6;25;5;0;7
0.2;05914000;13.09.2020;OB-Wahl;4224;4224 Rummenohl;;819;242;0;1061;300;2;9;291;65;151;19;2;32;2;1;19
0.2;05914000;13.09.2020;OB-Wahl;4225;4225 Zum Hohenhof / Sürenhagen;;793;407;0;1200;347;2;2;345;64;204;25;4;38;1;0;9
0.2;05914000;13.09.2020;OB-Wahl;5231;5231 Jungfernbruch / Haus Harkorten;;1081;259;0;1340;356;3;5;351;113;153;34;4;41;1;1;4
0.2;05914000;13.09.2020;OB-Wahl;5232;5232 Büdding;;813;162;0;975;241;2;2;239;65;100;15;9;40;2;2;6
0.2;05914000;13.09.2020;OB-Wahl;5233;5233 Spielbrinkstr.;;787;177;0;964;227;1;7;220;63;100;19;9;21;1;0;7
0.2;05914000;13.09.2020;OB-Wahl;5234;5234 Geweke / Auf dem Gelling;;1073;347;0;1420;323;0;3;320;66;152;43;6;39;3;0;11
0.2;05914000;13.09.2020;OB-Wahl;5235;5235 Tückingstr.;;1005;315;0;1320;324;0;4;320;68;155;42;8;43;0;0;4
0.2;05914000;13.09.2020;OB-Wahl;5241;5241 Hüttenplatz;;1344;170;0;1514;249;0;11;238;72;93;21;12;32;0;0;8
0.2;05914000;13.09.2020;OB-Wahl;5242;5242 Tillmanns- / Kölner Str.;;1281;148;0;1429;196;0;7;189;60;68;21;6;26;1;1;6
0.2;05914000;13.09.2020;OB-Wahl;5243;5243 Leimstr. / Oedeweg;;1491;161;0;1652;220;0;3;217;62;68;23;9;40;7;1;7
0.2;05914000;13.09.2020;OB-Wahl;5244;5244 Dickenbruchstr.;;760;112;0;872;196;0;4;192;51;71;19;9;30;0;0;12
0.2;05914000;13.09.2020;OB-Wahl;5251;5251 Steinplatz;;871;147;0;1018;189;2;8;181;61;59;16;12;22;3;1;7
0.2;05914000;13.09.2020;OB-Wahl;5252;5252 Am Postkopf;;793;115;0;908;128;0;3;125;37;51;12;2;15;2;2;4
0.2;05914000;13.09.2020;OB-Wahl;5253;5253 Klutert;;646;255;0;901;312;0;5;307;75;154;36;3;31;1;0;7
0.2;05914000;13.09.2020;OB-Wahl;5254;5254 Hestert;;706;183;0;889;308;2;1;307;59;165;38;11;26;2;0;6
0.2;05914000;13.09.2020;OB-Wahl;5255;5255 Kettelbach;;874;228;0;1102;229;2;3;226;42;113;37;2;22;1;0;9
0.2;05914000;13.09.2020;OB-Wahl;5256;5256 Am Karweg;;812;153;0;965;167;1;0;167;41;69;18;7;22;4;1;5
0.2;05914000;13.09.2020;OB-Wahl;5261;5261 Baukloh;;996;443;0;1439;364;1;2;362;95;185;36;9;25;4;0;8
0.2;05914000;13.09.2020;OB-Wahl;5262;5262 Ähren- / Twittingstr.;;795;171;0;966;257;1;9;248;64;110;26;9;25;12;0;2
0.2;05914000;13.09.2020;OB-Wahl;5263;5263 Grazer Str.;;803;132;0;935;215;0;2;213;62;95;14;5;26;4;1;6
0.2;05914000;13.09.2020;OB-Wahl;5264;5264 Harkortstr.;;785;110;0;895;231;1;3;228;68;82;23;4;42;4;3;2
0.2;05914000;13.09.2020;OB-Wahl;5265;5265 Westerbauer;;689;50;0;739;165;0;8;157;54;49;23;6;18;4;0;3
0.2;05914000;13.09.2020;OB-Wahl;5266;5266 Gabelsbergerstr.;;752;126;0;878;253;1;6;247;72;82;33;13;35;5;0;7
0.2;05914000;13.09.2020;OB-Wahl;6001;Briefwahlbezirk 6001;;0;0;0;0;669;669;41;628;145;333;64;17;45;4;2;18
0.2;05914000;13.09.2020;OB-Wahl;6002;Briefwahlbezirk 6002;;0;0;0;0;945;945;26;919;208;514;93;19;64;2;3;16
0.2;05914000;13.09.2020;OB-Wahl;6003;Briefwahlbezirk 6003;;0;0;0;0;576;576;45;531;133;215;127;9;23;1;11;12
0.2;05914000;13.09.2020;OB-Wahl;6004;Briefwahlbezirk 6004;;0;0;0;0;633;633;19;614;137;333;66;14;37;0;14;13
0.2;05914000;13.09.2020;OB-Wahl;6005;Briefwahlbezirk 6005;;0;0;0;0;1572;1572;10;1562;304;1033;103;21;69;6;3;23
0.2;05914000;13.09.2020;OB-Wahl;6006;Briefwahlbezirk 6006;;0;0;0;0;1567;1567;4;1563;364;1000;77;15;79;2;3;23
0.2;05914000;13.09.2020;OB-Wahl;6007;Briefwahlbezirk 6007;;0;0;0;0;1555;1555;8;1547;372;970;86;19;49;6;1;44
0.2;05914000;13.09.2020;OB-Wahl;6008;Briefwahlbezirk 6008;;0;0;0;0;1003;1003;12;991;525;276;66;30;57;6;7;24
0.2;05914000;13.09.2020;OB-Wahl;6009;Briefwahlbezirk 6009;;0;0;0;0;936;936;39;897;261;407;101;31;34;3;6;54
0.2;05914000;13.09.2020;OB-Wahl;6010;Briefwahlbezirk 6010;;0;0;0;0;859;859;61;798;209;410;98;25;30;1;5;20
0.2;05914000;13.09.2020;OB-Wahl;6011;Briefwahlbezirk 6011;;0;0;0;0;1178;1178;48;1130;248;693;79;17;55;6;4;28
0.2;05914000;13.09.2020;OB-Wahl;6012;Briefwahlbezirk 6012;;0;0;0;0;991;991;25;966;318;493;68;17;36;8;12;14
0.2;05914000;13.09.2020;OB-Wahl;6013;Briefwahlbezirk 6013;;0;0;0;0;1000;1000;11;989;254;571;79;8;52;8;0;17
0.2;05914000;13.09.2020;OB-Wahl;6014;Briefwahlbezirk 6014;;0;0;0;0;1014;1014;6;1008;234;619;65;9;58;4;2;17
0.2;05914000;13.09.2020;OB-Wahl;6015;Briefwahlbezirk 6015;;0;0;0;0;845;845;13;832;240;379;129;25;42;5;1;11
0.2;05914000;13.09.2020;OB-Wahl;6016;Briefwahlbezirk 6016;;0;0;0;0;1525;1525;5;1520;312;923;145;12;99;6;0;23
0.2;05914000;13.09.2020;OB-Wahl;6017;Briefwahlbezirk 6017;;0;0;0;0;1131;1131;12;1119;253;644;116;14;52;14;1;25
0.2;05914000;13.09.2020;OB-Wahl;6018;Briefwahlbezirk 6018;;0;0;0;0;1096;1096;15;1081;288;535;139;25;50;6;1;37
0.2;05914000;13.09.2020;OB-Wahl;6019;Briefwahlbezirk 6019;;0;0;0;0;1080;1080;4;1076;289;553;128;14;57;12;2;21
0.2;05914000;13.09.2020;OB-Wahl;6020;Briefwahlbezirk 6020;;0;0;0;0;602;602;7;595;161;302;57;8;53;2;2;10
0.2;05914000;13.09.2020;OB-Wahl;6021;Briefwahlbezirk 6021;;0;0;0;0;874;874;1;873;213;481;80;16;59;4;1;19
0.2;05914000;13.09.2020;OB-Wahl;6022;Briefwahlbezirk 6022;;0;0;0;0;1100;1100;6;1094;249;654;80;13;66;5;0;27
0.2;05914000;13.09.2020;OB-Wahl;6023;Briefwahlbezirk 6023;;0;0;0;0;1142;1142;11;1131;298;565;143;25;66;9;1;24
0.2;05914000;13.09.2020;OB-Wahl;6024;Briefwahlbezirk 6024;;0;0;0;0;477;477;4;473;120;201;85;16;30;2;3;16
0.2;05914000;13.09.2020;OB-Wahl;6025;Briefwahlbezirk 6025;;0;0;0;0;949;949;8;941;206;518;119;15;59;1;2;21
0.2;05914000;13.09.2020;OB-Wahl;6026;Briefwahlbezirk 6026;;0;0;0;0;910;910;3;907;229;455;137;13;49;7;3;14
