version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;304;304 Pfalz-Grona-Breite (1);09.06.2024 17:12:13 210;638;63;0;701;269;0;5;264;140;124
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;305;305 Pfalz-Grona-Breite (2);09.06.2024 17:12:13 210;681;59;0;740;260;0;5;255;138;117
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;306;306 Egelsberg (1);09.06.2024 17:12:13 210;619;91;0;710;335;0;1;334;157;177
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;307;307 Egelsberg (2);09.06.2024 17:12:13 210;584;75;0;659;294;0;6;288;114;174
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;308;308 Saline (1);09.06.2024 17:12:13 210;882;86;0;968;305;1;6;299;127;172
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;309;309 Saline (2);09.06.2024 17:12:13 210;700;86;0;786;275;1;8;267;88;179
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;310;310 Springmühle (1);09.06.2024 17:12:13 210;1000;82;0;1082;266;0;4;262;98;164
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;311;311 Alt-Grone (1);09.06.2024 17:12:13 210;715;67;0;782;332;0;8;324;106;218
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;312;312 Grone-Süd (1);09.06.2024 17:12:13 210;734;55;0;789;277;0;13;264;117;147
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;313;313 Grone-Süd (2);09.06.2024 17:12:13 210;519;18;0;537;193;1;8;185;88;97
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;314;314 Grone-Süd (3);09.06.2024 17:12:13 210;586;49;0;635;178;0;1;177;61;116
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;315;315 Alt-Grone (2);09.06.2024 17:12:13 210;653;20;0;673;175;0;9;166;78;88
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;316;316 Springmühle (2);09.06.2024 17:12:13 210;478;48;0;526;199;0;4;195;77;118
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;317;317 Grone-Süd (4);09.06.2024 17:12:13 210;695;83;0;778;297;0;6;291;74;217
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;318;318 Groß Ellershausen;09.06.2024 17:12:13 210;936;151;0;1087;464;0;6;458;105;353
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;319;319 Hetjershausen;09.06.2024 17:12:13 210;827;131;0;958;477;0;9;468;83;385
