version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;315;315 Alt-Grone (2);09.06.2024 17:12:13 210;653;20;0;673;175;0;7;168;89;79
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;316;316 Springmühle (2);09.06.2024 17:12:13 210;478;48;0;526;202;0;2;200;92;108
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;317;317 Grone-Süd (4);09.06.2024 17:12:13 210;695;83;0;778;297;0;3;294;92;202
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;318;318 Groß Ellershausen;09.06.2024 17:12:13 210;936;151;0;1087;463;0;5;458;148;310
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;319;319 Hetjershausen;09.06.2024 17:12:13 210;827;131;0;958;477;0;5;472;107;365
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;320;320 Knutbühren;09.06.2024 17:12:13 210;98;12;0;110;62;0;0;62;19;43
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;321;321 Esebeck;09.06.2024 17:12:13 210;430;66;0;496;247;247;5;242;78;164
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;322;322 Elliehausen (1);09.06.2024 17:12:13 210;1135;199;0;1334;577;2;14;563;190;373
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;323;323 Elliehausen (2);09.06.2024 17:12:13 210;752;95;0;847;308;0;6;302;90;212
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;401;401 Albrecht-Thaer-Weg;09.06.2024 17:12:13 210;726;102;0;828;291;0;2;289;247;42
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;403;403 Sültebecksbreite (1);09.06.2024 17:12:13 210;590;94;0;684;302;0;1;301;217;84
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;404;404 Weende-Nord (3);09.06.2024 17:12:13 210;483;98;0;581;252;0;4;248;134;114
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;405;405 Ernst-Fahlbusch-Straße (4);09.06.2024 17:12:13 210;667;93;0;760;308;0;10;298;175;123
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;406;406 Universität-Nord (1);09.06.2024 17:12:13 210;606;149;0;755;287;0;4;283;187;96
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;407;407 Industriegebiet Weende;09.06.2024 17:12:13 210;548;119;0;667;258;0;3;255;190;65
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;408;408 Theodor-Heuss-Straße;09.06.2024 17:12:13 210;630;92;0;722;241;0;5;236;177;59
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;409;409 Alt-Weende (1);09.06.2024 17:12:13 210;737;150;0;887;356;1;10;346;225;121
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;410;410 Alt-Weende (2);09.06.2024 17:12:13 210;670;145;0;815;327;0;4;323;211;112
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;411;411 Ernst-Fahlbusch-Straße (1);09.06.2024 17:12:13 210;493;119;0;612;278;0;0;278;149;129
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;412;412 Weende-Nord (1);09.06.2024 17:12:13 210;491;114;0;605;307;0;4;303;167;136
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;413;413 Ernst-Fahlbusch-Straße (2);09.06.2024 17:12:13 210;572;67;0;639;216;0;2;214;114;100
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;414;414 Holtenser Berg (1);09.06.2024 17:12:13 210;724;38;0;762;268;0;13;255;85;170
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;415;415 Holtenser Berg (2);09.06.2024 17:12:13 210;1005;40;0;1045;335;2;18;317;146;171
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;416;416 Holtenser Berg (3);09.06.2024 17:12:13 210;752;45;0;797;239;0;10;229;76;153
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;417;417 Holtensen (1);09.06.2024 17:12:13 210;618;77;0;695;282;0;5;277;94;183
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;418;418 Holtensen (2);09.06.2024 17:12:13 210;590;88;0;678;333;230;7;326;102;224
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;419;419 Universität-Nord (2);09.06.2024 17:12:13 210;837;150;0;987;402;2;5;397;289;108
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;420;420 Universität-Nord (3);09.06.2024 17:12:13 210;634;117;0;751;315;0;3;312;205;107
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;421;421 Weende-Nord (2);09.06.2024 17:12:13 210;817;169;0;986;444;0;8;436;173;263
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;422;422 Plesseweg;09.06.2024 17:12:13 210;531;153;0;684;343;1;2;341;239;102
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;423;423 Stumpfe Eiche;09.06.2024 17:12:13 210;475;119;0;594;297;0;3;294;136;158
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;424;424 Alt-Weende (3);09.06.2024 17:12:13 210;781;196;0;977;398;2;6;392;274;118
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;425;425 Ernst-Fahlbusch-Straße (3);09.06.2024 17:12:13 210;480;108;0;588;272;0;4;268;152;116
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;501;501 Neues Rathaus (1);09.06.2024 17:12:13 210;791;240;0;1031;437;0;10;427;280;147
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;502;502 Neues Rathaus (2);09.06.2024 17:12:13 210;809;214;0;1023;542;1;7;535;385;150
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;503;503 Bunsenstraße;09.06.2024 17:12:13 210;532;118;0;650;348;1;8;340;237;103
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;504;504 Jahnstadion;09.06.2024 17:12:13 210;978;259;0;1237;546;0;7;539;365;174
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;505;505 Gartetalbahnhof;09.06.2024 17:12:13 210;1066;178;0;1244;352;0;5;347;257;90
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;506;506 Landeskrankenhaus;09.06.2024 17:12:13 210;597;61;0;658;229;0;1;228;103;125
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;507;507 Leineberg (1);09.06.2024 17:12:13 210;712;42;0;754;305;0;9;296;155;141
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;508;508 Leineberg (2);09.06.2024 17:12:13 210;687;70;0;757;382;0;6;376;179;197
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;509;509 Bahnhof-West;09.06.2024 17:12:13 210;693;98;0;791;246;1;5;241;164;77
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;510;510 Bahnhof-Ost;09.06.2024 17:12:13 210;692;132;0;824;287;0;4;283;200;83
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;511;511 Goethe-Allee;09.06.2024 17:12:13 210;807;194;0;1001;435;0;3;432;348;84
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;512;512 Nikolaistraße (1);09.06.2024 17:12:13 210;694;166;0;860;389;1;1;388;312;76
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;513;513 Albanikirchhof;09.06.2024 17:12:13 210;972;229;0;1201;586;0;9;577;387;190
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;514;514 Theaterstraße (1);09.06.2024 17:12:13 210;469;88;0;557;246;0;1;245;149;96
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;515;515 Deutsches Theater;09.06.2024 17:12:13 210;767;223;0;990;504;0;4;500;329;171
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;516;516 Nikolaistraße (2);09.06.2024 17:12:13 210;474;112;0;586;227;0;7;220;177;43
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;517;517 Theaterstraße (2);09.06.2024 17:12:13 210;483;116;0;599;260;260;5;255;199;56
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;518;518 Sültebecksbreite (2);09.06.2024 17:12:13 210;838;154;0;992;442;2;7;435;300;135
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;519;519 Arndtstraße;09.06.2024 17:12:13 210;1055;245;0;1300;530;0;3;527;410;117
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;520;520 Güterbahnhof;09.06.2024 17:12:13 210;1011;209;0;1220;403;1;2;401;310;91
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;521;521 Windausweg;09.06.2024 17:12:13 210;576;158;0;734;379;0;6;373;225;148

