version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;BRIEFWAHLBEZIRK-NR;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;222;Stadt Göttingen - 222 Kiessee-Karree (2);265;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;223;Stadt Göttingen - 223 Zietenterrassen (2);265;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;301;Stadt Göttingen - 301 Hagenberg (1);361;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;302;Stadt Göttingen - 302 Hagenberg (2);361;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;303;Stadt Göttingen - 303 Robert-Bosch-Breite;361;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;304;Stadt Göttingen - 304 Pfalz-Grona-Breite (1);361;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;305;Stadt Göttingen - 305 Pfalz-Grona-Breite (2);361;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;306;Stadt Göttingen - 306 Egelsberg (1);361;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;307;Stadt Göttingen - 307 Egelsberg (2);361;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;308;Stadt Göttingen - 308 Saline (1);351;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;309;Stadt Göttingen - 309 Saline (2);351;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;310;Stadt Göttingen - 310 Springmühle (1);351;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;311;Stadt Göttingen - 311 Alt-Grone (1);352;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;312;Stadt Göttingen - 312 Grone-Süd (1);352;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;313;Stadt Göttingen - 313 Grone-Süd (2);352;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;314;Stadt Göttingen - 314 Grone-Süd (3);353;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;315;Stadt Göttingen - 315 Alt-Grone (2);353;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;316;Stadt Göttingen - 316 Springmühle (2);353;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;317;Stadt Göttingen - 317 Grone-Süd (4);353;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;318;Stadt Göttingen - 318 Groß Ellershausen;354;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;319;Stadt Göttingen - 319 Hetjershausen;354;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;320;Stadt Göttingen - 320 Knutbühren;354;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;321;Stadt Göttingen - 321 Esebeck;355;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;322;Stadt Göttingen - 322 Elliehausen (1);355;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;323;Stadt Göttingen - 323 Elliehausen (2);355;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;401;Stadt Göttingen - 401 Albrecht-Thaer-Weg;461;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;403;Stadt Göttingen - 403 Sültebecksbreite (1);461;W;;;;;
