version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2133;2133 Louise-Schröder-Str.;23.02.2025 16:34:22 780;630;191;0;821;465;0;10;455;10;455;63;55;119;116;25;28;8;10;178;172;31;29;0;9;0;0;0;3;9;4;3;1;0;0;1;0;0;0;0;1;18;26;0;0;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2134;2134 Fley;23.02.2025 16:34:22 780;565;270;0;835;498;0;3;495;0;498;100;84;169;165;51;52;25;26;124;127;8;22;0;3;0;1;0;0;1;0;5;2;0;1;0;0;0;0;0;1;12;14;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2135;2135 Buschstr.;23.02.2025 16:34:22 780;627;311;0;938;434;0;4;430;2;432;84;77;106;109;28;29;15;19;150;140;22;25;0;7;0;3;0;1;5;2;9;0;0;1;0;1;0;2;0;0;11;16;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2136;2136 Pappelstr.;23.02.2025 16:34:22 780;553;168;0;721;414;0;8;406;4;410;114;103;119;115;11;13;10;11;106;110;21;28;0;2;0;1;0;0;3;0;2;1;0;0;1;0;0;0;0;2;19;22;0;2;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2141;2141 Freiligrathstr.;23.02.2025 16:34:22 780;643;189;0;832;460;0;6;454;9;451;107;86;101;108;21;18;15;17;136;127;34;44;0;8;0;1;0;3;11;7;7;1;0;0;3;1;0;1;0;2;19;27;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2142;2142 Sonntagstr.;23.02.2025 16:34:22 780;836;291;0;1127;660;0;4;656;4;656;156;120;181;162;35;47;23;26;183;182;36;51;0;8;0;4;0;0;3;2;5;3;0;5;1;0;0;0;0;2;33;42;0;0;0;2
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2143;2143 Wilhelm-Leuschner-Str.;23.02.2025 16:34:22 780;691;149;0;840;530;0;8;522;3;527;138;110;149;145;29;33;12;18;122;119;37;56;0;2;0;2;0;2;4;2;5;2;0;0;0;1;0;0;0;3;26;32;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2144;2144 Hügelstr.;23.02.2025 16:34:22 780;674;423;0;1097;479;0;2;477;1;478;85;77;170;167;33;30;13;17;116;113;28;36;0;8;0;2;0;2;5;0;4;1;0;3;1;0;0;0;0;1;22;21;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2145;2145 Hamecke;23.02.2025 16:34:22 780;710;249;0;959;566;0;8;558;4;562;116;102;208;207;34;36;13;15;132;127;20;33;0;7;0;4;0;1;2;1;6;1;0;0;1;0;0;0;0;0;26;28;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2151;2151 Masurenstr. / Aehringhausen / Voßacker;23.02.2025 16:34:22 780;1205;397;0;1602;855;0;6;849;5;850;243;200;175;178;51;57;32;33;207;208;71;88;0;11;0;2;0;2;15;9;15;8;0;7;1;2;0;2;0;2;39;41;0;0;0;0
