version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.2;06414000;01.11.2020;Citybahn;1551;1551 Gymnasium am Mosbacher Berg;;666;353;0;1019;423;4;0;423;139;284
0.2;06414000;01.11.2020;Citybahn;1552;1552 Ev. Heilig-Geist-Kirchengemeinde;;731;172;0;903;374;3;1;373;86;287
0.2;06414000;01.11.2020;Citybahn;1553;1553 Ev. Heilig-Geist-Kirchengemeinde;;608;168;0;776;358;4;0;358;78;280
0.2;06414000;01.11.2020;Citybahn;1581;1581 Grundschule Sauerland;;727;120;0;847;188;0;1;187;39;148
0.2;06414000;01.11.2020;Citybahn;1611;1611 Helen-Keller-Schule;;947;208;0;1155;387;2;1;386;150;236
0.2;06414000;01.11.2020;Citybahn;1612;1612 Philipp-Reis-Schule;;1043;230;0;1273;346;0;2;344;126;218
0.2;06414000;01.11.2020;Citybahn;1613;1613 Philipp-Reis-Schule;;908;249;0;1157;379;0;1;378;141;237
0.2;06414000;01.11.2020;Citybahn;1621;1621 Kohlheckschule;;718;234;0;952;421;0;1;420;151;269
0.2;06414000;01.11.2020;Citybahn;1622;1622 Kohlheckschule;;986;219;0;1205;365;0;0;365;135;230
0.2;06414000;01.11.2020;Citybahn;1623;1623 Kohlheckschule;;1110;316;0;1426;479;4;0;479;207;272
0.2;06414000;01.11.2020;Citybahn;1624;1624 Freie Christliche Schule;;967;264;0;1231;382;1;0;382;164;218
0.2;06414000;01.11.2020;Citybahn;1641;1641 Grundschule Sauerland;;697;108;0;805;191;1;0;191;52;139
0.2;06414000;01.11.2020;Citybahn;1642;1642 Grundschule Sauerland;;954;66;0;1020;222;0;1;221;73;148
0.2;06414000;01.11.2020;Citybahn;1643;1643 Grundschule Sauerland;;1275;101;0;1376;290;1;1;289;114;175
0.2;06414000;01.11.2020;Citybahn;1651;1651 Kinderhaus Freudenberg;;1098;271;0;1369;501;0;1;500;224;276
