Stimmbezirk;S_Name;S_URL;Stadtbezirk;Wahlbezirk;W_Name;W_URL
1065;1065 Fachhochschule;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1065_Fachhochschule.html;Hagen-Mitte;06;06 Eppenhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_06_Eppenhausen.html
1071;1071 Am Waldesrand;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1071_Am_Waldesrand.html;Hagen-Mitte;07;07 Emst;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_07_Emst.html
1072;1072 Alt-Emst;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1072_AltEmst.html;Hagen-Mitte;07;07 Emst;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_07_Emst.html
1073;1073 Fritz-Steinhoff-Park;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1073_FritzSteinhoffPark.html;Hagen-Mitte;07;07 Emst;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_07_Emst.html
1074;1074 Max-Planck-Str. / Haßley;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1074_MaxPlanckStr__Hassley.html;Hagen-Mitte;07;07 Emst;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_07_Emst.html
1075;1075 Bissingheim;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1075_Bissingheim.html;Hagen-Mitte;07;07 Emst;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_07_Emst.html
1081;1081 Haldener Str.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1081_Haldener_Str.html;Hagen-Mitte;08;08 Remberg;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_08_Remberg.html
1082;1082 Rembergstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1082_Rembergstr.html;Hagen-Mitte;08;08 Remberg;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_08_Remberg.html
1083;1083 Eickertstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1083_Eickertstr.html;Hagen-Mitte;08;08 Remberg;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_08_Remberg.html
1084;1084 Bülowstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1084_Buelowstr.html;Hagen-Mitte;08;08 Remberg;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_08_Remberg.html
