gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
;;;;3;Hohenlimburg;18;18 Hohenlimburg-Süd;3185;3185 Wesselbachstr.;U;;18;18 Hohenlimburg-Süd;;
;;;;3;Hohenlimburg;19;19 Hohenlimburg-West;3191;3191 Holthausen;U;;19;19 Hohenlimburg-West;;
;;;;3;Hohenlimburg;19;19 Hohenlimburg-West;3192;3192 Elseyer Kirchplatz / Am Somborn;U;;19;19 Hohenlimburg-West;;
;;;;3;Hohenlimburg;19;19 Hohenlimburg-West;3193;3193 Mozartstr. / Alter Henkhauser Weg;U;;19;19 Hohenlimburg-West;;
;;;;3;Hohenlimburg;19;19 Hohenlimburg-West;3194;3194 Wachtelweg / Am Berge;U;;19;19 Hohenlimburg-West;;
;;;;1;Hagen-Mitte;20;20 Eilpe-Zentrum/Oberhagen;4201;4201 Springe / Tuchmacherstr.;U;;20;20 Eilpe-Zentrum/Oberhagen;;
;;;;4;Eilpe/Dahl;20;20 Eilpe-Zentrum/Oberhagen;4202;4202 Oberhagen;U;;20;20 Eilpe-Zentrum/Oberhagen;;
;;;;4;Eilpe/Dahl;20;20 Eilpe-Zentrum/Oberhagen;4203;4203 Untere Selbecker Str.;U;;20;20 Eilpe-Zentrum/Oberhagen;;
;;;;4;Eilpe/Dahl;20;20 Eilpe-Zentrum/Oberhagen;4204;4204 Hüttenbergstr.;U;;20;20 Eilpe-Zentrum/Oberhagen;;
;;;;4;Eilpe/Dahl;21;21 Eilper Feld/Delstern;4211;4211 Sunderlohstr.;U;;21;21 Eilper Feld/Delstern;;
;;;;4;Eilpe/Dahl;21;21 Eilper Feld/Delstern;4212;4212 Selbecke;U;;21;21 Eilper Feld/Delstern;;
