gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
;;;;;;Erbenheim;Erbenheim;1322;1322 Hermann-Ehlers-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1411;1411 Fluxusschule Biebrich;U;;;;;
;;;;;;Biebrich;Biebrich;1412;1412 Rathaus Biebrich;U;;;;;
;;;;;;Biebrich;Biebrich;1413;1413 Wilh.-Heinrich-v.-Riehl-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1414;1414 Wilh.-Heinrich-v.-Riehl-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1415;1415 Wilh.-Heinrich-v.-Riehl-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1416;1416 Galatea-Anlagen;U;;;;;
;;;;;;Biebrich;Biebrich;1417;1417 Goetheschule;U;;;;;
;;;;;;Biebrich;Biebrich;1421;1421 Pestalozzischule;U;;;;;
;;;;;;Biebrich;Biebrich;1431;1431 Wilh.-Heinrich-v.-Riehl-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1471;1471 Altenwohnanlage Parkfeld II;U;;;;;
;;;;;;Biebrich;Biebrich;1472;1472 Otto-Stückrath-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1473;1473 Otto-Stückrath-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1481;1481 Otto-Stückrath-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1511;1511 Ludwig-Beck-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1512;1512 Fr.-v.-Bodelschwingh-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1513;1513 Ludwig-Beck-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1514;1514 Fr.-v.-Bodelschwingh-Schule;U;;;;;
;;;;;;Biebrich;Biebrich;1531;1531 Diesterwegschule;U;;;;;
;;;;;;Biebrich;Biebrich;1541;1541 Diesterwegschule;U;;;;;
;;;;;;Biebrich;Biebrich;1542;1542 Diesterwegschule;U;;;;;
;;;;;;Biebrich;Biebrich;1543;1543 Diesterwegschule;U;;;;;
;;;;;;Biebrich;Biebrich;1551;1551 Gymnasium am Mosbacher Berg;U;;;;;
;;;;;;Biebrich;Biebrich;1552;1552 Ev. Heilig-Geist-Kirchengemeinde;U;;;;;
;;;;;;Biebrich;Biebrich;1553;1553 Ev. Heilig-Geist-Kirchengemeinde;U;;;;;
;;;;;;Biebrich;Biebrich;1581;1581 Grundschule Sauerland;U;;;;;
;;;;;;Dotzheim;Dotzheim;1611;1611 Helen-Keller-Schule;U;;;;;
;;;;;;Dotzheim;Dotzheim;1612;1612 Philipp-Reis-Schule;U;;;;;
;;;;;;Dotzheim;Dotzheim;1613;1613 Philipp-Reis-Schule;U;;;;;
;;;;;;Dotzheim;Dotzheim;1621;1621 Kohlheckschule;U;;;;;
;;;;;;Dotzheim;Dotzheim;1622;1622 Kohlheckschule;U;;;;;
;;;;;;Dotzheim;Dotzheim;1623;1623 Kohlheckschule;U;;;;;
;;;;;;Dotzheim;Dotzheim;1624;1624 Freie Christliche Schule;U;;;;;
;;;;;;Dotzheim;Dotzheim;1641;1641 Grundschule Sauerland;U;;;;;
;;;;;;Dotzheim;Dotzheim;1642;1642 Grundschule Sauerland;U;;;;;
;;;;;;Dotzheim;Dotzheim;1643;1643 Grundschule Sauerland;U;;;;;
;;;;;;Dotzheim;Dotzheim;1651;1651 Kinderhaus Freudenberg;U;;;;;
;;;;;;Dotzheim;Dotzheim;1661;1661 Stadtteilzentrum Schelmengraben;U;;;;;
;;;;;;Dotzheim;Dotzheim;1662;1662 Stadtteilzentrum Schelmengraben;U;;;;;
;;;;;;Dotzheim;Dotzheim;1663;1663 Grundschule Schelmengraben;U;;;;;
;;;;;;Dotzheim;Dotzheim;1664;1664 Grundschule Schelmengraben;U;;;;;
;;;;;;Dotzheim;Dotzheim;1671;1671 Stadtteilbüro Schelmengraben;U;;;;;
;;;;;;Dotzheim;Dotzheim;1681;1681 Helen-Keller-Schule;U;;;;;
;;;;;;Dotzheim;Dotzheim;1691;1691 Joseph-von-Eichendorff-Schule;U;;;;;
;;;;;;Dotzheim;Dotzheim;1692;1692 Joseph-von-Eichendorff-Schule;U;;;;;
;;;;;;Rambach;Rambach;2111;2111 Evangelisches Gemeindezentrum;U;;;;;
;;;;;;Rambach;Rambach;2112;2112 Adolf-Reichwein-Schule;U;;;;;
;;;;;;Heßloch;Heßloch;2211;2211 Ev. Bodelschwinghgemeinde;U;;;;;
;;;;;;Kloppenheim;Kloppenheim;2311;2311 Ernst-Göbel-Schule;U;;;;;
;;;;;;Kloppenheim;Kloppenheim;2312;2312 Ernst-Göbel-Schule;U;;;;;
;;;;;;Igstadt;Igstadt;2411;2411 Peter-Rosegger-Schule;U;;;;;
;;;;;;Igstadt;Igstadt;2412;2412 Peter-Rosegger-Schule;U;;;;;
;;;;;;Nordenstadt;Nordenstadt;2511;2511 Grundschule Nordenstadt;U;;;;;
;;;;;;Nordenstadt;Nordenstadt;2512;2512 Grundschule Nordenstadt;U;;;;;
;;;;;;Nordenstadt;Nordenstadt;2513;2513 Grundschule Nordenstadt;U;;;;;
;;;;;;Nordenstadt;Nordenstadt;2521;2521 Grundschule Nordenstadt;U;;;;;
;;;;;;Nordenstadt;Nordenstadt;2522;2522 Grundschule Nordenstadt;U;;;;;
;;;;;;Nordenstadt;Nordenstadt;2523;2523 Grundschule Nordenstadt;U;;;;;
;;;;;;Delkenheim;Delkenheim;2611;2611 Karl-Gärtner-Schule;U;;;;;
;;;;;;Delkenheim;Delkenheim;2612;2612 Karl-Gärtner-Schule;U;;;;;
;;;;;;Delkenheim;Delkenheim;2621;2621 Bürgerhaus Delkenheim;U;;;;;
;;;;;;Delkenheim;Delkenheim;2622;2622 Bürgerhaus Delkenheim;U;;;;;
;;;;;;Schierstein;Schierstein;2711;2711 Erich-Kästner-Schule;U;;;;;
;;;;;;Schierstein;Schierstein;2712;2712 Erich-Kästner-Schule;U;;;;;
;;;;;;Schierstein;Schierstein;2713;2713 Erich-Kästner-Schule;U;;;;;
;;;;;;Schierstein;Schierstein;2721;2721 Erich-Kästner-Schule;U;;;;;
;;;;;;Schierstein;Schierstein;2731;2731 Joseph-von-Eichendorff-Schule;U;;;;;
;;;;;;Schierstein;Schierstein;2732;2732 Joseph-von-Eichendorff-Schule;U;;;;;
;;;;;;Schierstein;Schierstein;2733;2733 Joseph-von-Eichendorff-Schule;U;;;;;
;;;;;;Frauenstein;Frauenstein;2811;2811 Alfred-Delp-Schule;U;;;;;
