version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;12;HAK;Hagener Aktivisten-Kreis;#ffe417;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;1;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;2;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;4;HagenAKTIV;HagenAktiv-FWG;#0000fc;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;5;AfD;Alternative für Deutschland;#21c5ff;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;6;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;7;Die Linke;Die Linke;#cc0066;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;8;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;9;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;#471330;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;10;Die Gerechtigkeitspartei;Die Gerechtigkeitspartei – Team Todenhöfer;#a61e4d;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Haspe;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Haspe;12;HAK;Hagener Aktivisten-Kreis;#ffe417;P
