version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1091;1091 Minervastr.;15.09.2025 09:03:13 809;829;144;0;973;244;0;6;238;24;60;27;52;5;3;29;10;6;3;19
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1092;1092 St. Michael-Kirche;15.09.2025 09:03:13 809;1167;212;0;1379;328;0;1;327;36;77;38;72;10;6;32;17;0;6;33
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1093;1093 Stadtgarten;15.09.2025 09:03:13 809;1046;437;0;1483;425;2;1;424;68;120;44;80;16;8;21;10;6;4;47
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1094;1094 Sternwarte;15.09.2025 09:03:13 809;890;244;0;1134;298;1;5;293;45;67;23;77;10;1;18;6;6;1;39
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1101;1101 Cunosiedlung;15.09.2025 09:03:13 809;916;226;0;1142;321;0;7;314;61;71;19;88;8;6;6;9;0;2;44
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1102;1102 Kuhlerkamp;15.09.2025 09:03:13 809;853;387;0;1240;510;0;0;510;133;76;34;121;12;7;16;13;3;2;93
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1103;1103 Wehringhauser Str. / Philippshöhe;15.09.2025 09:03:13 809;651;103;0;754;82;0;1;81;5;10;4;47;0;1;2;6;1;0;5
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1104;1104 Södingstr.;15.09.2025 09:03:13 809;678;157;0;835;84;2;2;82;10;8;2;24;2;0;10;14;4;2;6
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1105;1105 Feuerwache Mitte;15.09.2025 09:03:13 809;715;146;0;861;212;0;4;208;25;52;32;33;6;2;20;7;10;4;17
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1106;1106 Wilhelmsplatz;15.09.2025 09:03:13 809;690;152;0;842;125;0;0;125;15;24;10;27;6;0;16;11;1;4;11
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1201;1201 Springe / Tuchmacherstr.;15.09.2025 09:03:13 809;1171;152;0;1323;226;1;3;223;24;58;11;78;3;4;11;10;7;2;15
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1202;1202 Oberhagen;15.09.2025 09:03:13 809;457;74;0;531;54;0;0;54;5;11;5;18;1;0;3;2;3;4;2
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2111;2111 Brockhausen;15.09.2025 09:03:13 809;802;183;0;985;218;5;9;209;35;53;8;61;9;2;9;20;0;2;10
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2112;2112 Niedernhofstr.;15.09.2025 09:03:13 809;680;240;0;920;284;0;5;279;74;37;13;79;13;2;2;6;1;1;51
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2113;2113 Hilgenland;15.09.2025 09:03:13 809;620;196;0;816;223;1;5;218;60;41;5;68;9;1;6;1;1;2;24
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2114;2114 Hagener Str.;15.09.2025 09:03:13 809;919;378;0;1297;462;2;3;459;129;63;17;117;8;11;13;8;3;2;88
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2115;2115 Boele Kirche;15.09.2025 09:03:13 809;799;210;0;1009;271;0;14;257;82;37;10;80;4;2;5;10;1;0;26
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2116;2116 Allensteiner Str. / Hengstey;15.09.2025 09:03:13 809;744;277;0;1021;304;0;2;302;75;31;14;96;9;5;8;3;1;0;60
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2121;2121 Fritz-Steinhoff-Schule;15.09.2025 09:03:13 809;970;158;0;1128;303;1;2;301;51;61;12;112;10;2;10;9;4;7;23
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2122;2122 Borgenfeldstr.;15.09.2025 09:03:13 809;668;155;0;823;223;0;1;222;54;36;6;73;3;4;10;5;1;4;26
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2123;2123 Knüwenstr.;15.09.2025 09:03:13 809;722;167;0;889;225;0;2;223;38;53;4;76;4;1;11;13;1;0;22
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2124;2124 Steinhausstr.;15.09.2025 09:03:13 809;704;189;0;893;160;0;1;159;31;42;4;49;6;0;6;7;1;1;12
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2125;2125 Bathey;15.09.2025 09:03:13 809;504;153;0;657;238;2;9;229;45;36;14;78;7;9;8;0;8;1;23
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2126;2126 Garenfeld;15.09.2025 09:03:13 809;1020;404;0;1424;589;0;11;578;200;106;32;124;18;10;22;12;3;4;47
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2131;2131 Helfer Str.;15.09.2025 09:03:13 809;680;225;0;905;274;0;2;272;54;37;15;96;5;5;6;7;0;0;47
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2132;2132 AWO-Heim Helfe;15.09.2025 09:03:13 809;853;190;0;1043;289;6;2;287;64;52;17;109;3;3;7;9;3;0;20
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2133;2133 Louise-Schröder-Str.;15.09.2025 09:03:13 809;710;193;0;903;280;0;1;279;87;37;6;95;7;4;3;8;1;0;31
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2134;2134 Fley;15.09.2025 09:03:13 809;568;303;0;871;321;0;0;321;79;55;21;94;5;4;7;15;2;0;39
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2135;2135 Buschstr.;15.09.2025 09:03:13 809;684;297;0;981;277;0;1;276;68;41;13;98;5;5;9;3;2;0;32
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2136;2136 Pappelstr.;15.09.2025 09:03:13 809;605;165;0;770;242;0;7;235;67;39;9;60;13;4;9;2;1;1;30
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2141;2141 Freiligrathstr.;15.09.2025 09:03:13 809;745;159;0;904;287;0;5;282;62;57;5;89;14;7;11;10;2;0;25
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2142;2142 Sonntagstr.;15.09.2025 09:03:13 809;920;289;0;1209;385;0;3;382;92;72;17;126;6;7;10;7;2;1;42
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2143;2143 Wilhelm-Leuschner-Str.;15.09.2025 09:03:13 809;755;185;0;940;320;0;2;318;78;71;7;77;5;4;14;11;2;3;46
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2144;2144 Hügelstr.;15.09.2025 09:03:13 809;738;399;0;1137;305;3;3;302;102;44;17;51;5;7;4;7;2;0;63
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2145;2145 Hamecke;15.09.2025 09:03:13 809;779;256;0;1035;398;0;2;396;112;78;23;96;12;5;7;6;1;3;53
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2151;2151 Masurenstr. / Aehringhausen / Voßacker;15.09.2025 09:03:13 809;1348;386;0;1734;505;0;5;500;136;140;9;119;12;6;14;18;7;4;35
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2152;2152 Vorhalle-Zentrum;15.09.2025 09:03:13 809;1359;346;0;1705;514;0;4;510;112;101;28;120;20;14;18;47;6;2;42
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2153;2153 Wielandplatz / Becheltestr.;15.09.2025 09:03:13 809;1197;221;0;1418;286;2;2;284;48;60;15;75;3;5;10;44;3;6;15
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;2154;2154 Lindenstr. / Funkenhausen;15.09.2025 09:03:13 809;1004;247;0;1251;342;0;2;340;94;62;15;80;6;8;11;17;1;2;44
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3161;3161 Halden;15.09.2025 09:03:13 809;845;363;0;1208;501;0;3;498;131;100;20;117;20;19;8;5;2;0;76
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3162;3162 Bandstahlstr.;15.09.2025 09:03:13 809;704;398;0;1102;461;1;8;453;125;87;25;85;14;7;8;13;3;4;82
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3163;3163 Herbeck;15.09.2025 09:03:13 809;392;114;0;506;233;0;3;230;49;45;5;55;10;3;0;5;8;2;48
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3164;3164 Berchum;15.09.2025 09:03:13 809;975;402;0;1377;556;0;2;554;173;101;32;104;16;21;21;7;2;3;74
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3165;3165 Reh / Henkhausen;15.09.2025 09:03:13 809;613;241;0;854;362;1;3;359;85;112;38;57;9;6;6;1;2;1;42
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3166;3166 Kirchenberg;15.09.2025 09:03:13 809;552;266;0;818;271;0;8;263;76;49;16;49;9;2;6;7;2;0;47
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3171;3171 Im Gersegge;15.09.2025 09:03:13 809;946;384;0;1330;373;0;1;372;94;75;23;101;4;8;6;17;3;4;37
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3172;3172 Wiesenstr.;15.09.2025 09:03:13 809;632;153;0;785;224;0;6;218;40;51;6;74;6;3;15;7;1;1;14
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3173;3173 Im Sibb;15.09.2025 09:03:13 809;819;293;0;1112;383;0;5;378;92;73;34;92;13;6;17;1;5;1;44
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3174;3174 Auf der Heide;15.09.2025 09:03:13 809;697;295;0;992;352;0;5;347;122;51;22;83;13;8;8;3;5;0;32
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3175;3175 Elsey;15.09.2025 09:03:13 809;875;252;0;1127;276;0;4;272;54;62;13;83;10;5;8;7;4;3;23
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3176;3176 Bezirksverwaltungsstelle Hohenlimburg;15.09.2025 09:03:13 809;605;162;0;767;194;1;5;189;46;50;8;44;8;1;9;3;1;2;17
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3181;3181 Oeger Str. / Oege;15.09.2025 09:03:13 809;883;395;0;1278;277;0;5;272;58;53;11;80;8;2;14;16;8;5;17
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3182;3182 Wilhelmstr.;15.09.2025 09:03:13 809;562;272;0;834;229;0;1;228;49;54;11;58;11;2;5;2;5;1;30
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3183;3183 Nahmertal;15.09.2025 09:03:13 809;645;260;0;905;247;0;3;244;47;53;15;85;16;3;3;4;3;3;12
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3184;3184 Wesselbach;15.09.2025 09:03:13 809;624;318;0;942;253;2;4;249;59;50;29;53;9;3;12;14;1;1;18
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3185;3185 Wesselbachstr.;15.09.2025 09:03:13 809;681;277;0;958;313;0;3;310;69;80;25;64;15;8;15;3;10;1;20
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3191;3191 Holthausen;15.09.2025 09:03:13 809;1025;349;0;1374;555;0;0;555;152;123;19;118;21;13;8;9;2;0;90
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3192;3192 Elseyer Kirchplatz / Am Somborn;15.09.2025 09:03:13 809;1080;362;0;1442;372;0;5;367;81;93;21;92;7;3;23;9;8;26;4
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3193;3193 Mozartstr. / Alter Henkhauser Weg;15.09.2025 09:03:13 809;1214;300;0;1514;372;0;4;368;77;69;5;120;8;8;12;20;5;5;39
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;3194;3194 Wachtelweg / Am Berge;15.09.2025 09:03:13 809;1004;367;0;1371;458;2;8;450;107;116;16;122;13;8;14;7;3;8;36
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4203;4203 Untere Selbecker Str.;15.09.2025 09:03:13 809;1008;224;0;1232;237;0;0;237;40;46;2;81;11;6;4;23;4;1;19
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4204;4204 Hüttenbergstr.;15.09.2025 09:03:13 809;770;253;0;1023;262;0;2;260;62;33;12;102;7;4;8;2;0;2;28
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4205;4205 Franzstraße;15.09.2025 09:03:13 809;748;85;0;833;148;1;4;144;12;32;3;61;5;6;10;8;0;0;7
