version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1094;1094 Sternwarte;15.09.2025 09:03:13 809;890;244;0;1134;298;1;9;289;50;71;24;81;15;3;0;24;6;8;6;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1101;1101 Cunosiedlung;15.09.2025 09:03:13 809;916;226;0;1142;321;2;3;318;66;73;29;98;15;8;0;8;8;3;9;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1102;1102 Kuhlerkamp;15.09.2025 09:03:13 809;853;387;0;1240;512;0;1;511;140;106;52;138;23;12;0;23;4;3;9;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1103;1103 Wehringhauser Str. / Philippshöhe;15.09.2025 09:03:13 809;651;103;0;754;82;0;0;82;2;14;1;47;2;1;0;8;5;0;2;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1104;1104 Södingstr.;15.09.2025 09:03:13 809;678;157;0;835;84;2;2;82;10;11;2;24;2;0;0;12;12;5;2;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1105;1105 Feuerwache Mitte;15.09.2025 09:03:13 809;715;146;0;861;212;0;0;212;22;49;34;39;8;4;0;28;9;12;4;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1106;1106 Wilhelmsplatz;15.09.2025 09:03:13 809;690;152;0;842;125;0;1;124;15;18;14;26;7;2;0;20;7;5;5;5;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1201;1201 Springe / Tuchmacherstr.;15.09.2025 09:03:13 809;1171;152;0;1323;227;1;2;225;24;58;11;86;3;6;0;14;11;3;5;4;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1202;1202 Oberhagen;15.09.2025 09:03:13 809;457;74;0;531;54;0;1;53;2;12;4;17;1;0;0;3;6;4;2;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2111;2111 Brockhausen;15.09.2025 09:03:13 809;802;183;0;985;218;0;8;210;33;50;10;62;8;2;0;14;22;1;6;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2112;2112 Niedernhofstr.;15.09.2025 09:03:13 809;680;240;0;920;284;0;9;275;95;29;22;83;4;8;0;6;16;2;10;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2113;2113 Hilgenland;15.09.2025 09:03:13 809;620;196;0;816;224;1;10;214;74;40;6;68;8;3;0;7;1;1;6;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2114;2114 Hagener Str.;15.09.2025 09:03:13 809;919;378;0;1297;462;2;9;453;171;70;27;127;13;13;0;14;6;4;3;5;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2115;2115 Boele Kirche;15.09.2025 09:03:13 809;799;210;0;1009;271;0;7;264;98;33;11;90;8;3;0;8;7;0;6;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2116;2116 Allensteiner Str. / Hengstey;15.09.2025 09:03:13 809;744;277;0;1021;305;0;3;302;97;35;16;106;12;11;0;10;3;2;7;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2121;2121 Fritz-Steinhoff-Schule;15.09.2025 09:03:13 809;970;158;0;1128;303;1;4;299;57;58;20;112;8;0;0;13;4;4;13;10;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2122;2122 Borgenfeldstr.;15.09.2025 09:03:13 809;668;155;0;823;223;0;2;221;65;31;16;78;1;6;0;8;2;0;12;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2123;2123 Knüwenstr.;15.09.2025 09:03:13 809;722;167;0;889;225;0;3;222;47;54;9;78;7;1;0;11;6;2;6;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2124;2124 Steinhausstr.;15.09.2025 09:03:13 809;704;189;0;893;160;0;8;152;35;39;3;47;7;1;0;5;6;3;4;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2125;2125 Bathey;15.09.2025 09:03:13 809;504;153;0;657;238;2;5;233;58;41;15;79;9;5;0;7;3;1;14;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2126;2126 Garenfeld;15.09.2025 09:03:13 809;1020;404;0;1424;590;0;6;584;221;104;43;137;16;12;0;19;7;5;18;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2131;2131 Helfer Str.;15.09.2025 09:03:13 809;680;225;0;905;274;0;4;270;68;44;21;106;5;7;0;9;7;0;3;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2132;2132 AWO-Heim Helfe;15.09.2025 09:03:13 809;853;190;0;1043;289;0;13;276;74;56;11;104;3;3;0;10;6;4;5;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2133;2133 Louise-Schröder-Str.;15.09.2025 09:03:13 809;710;193;0;903;280;0;20;260;90;36;12;97;8;2;0;6;7;0;1;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2134;2134 Fley;15.09.2025 09:03:13 809;568;303;0;871;321;0;2;319;104;48;29;97;4;6;0;13;13;3;2;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2135;2135 Buschstr.;15.09.2025 09:03:13 809;684;297;0;981;277;0;1;276;79;42;14;100;13;6;0;12;2;4;3;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2136;2136 Pappelstr.;15.09.2025 09:03:13 809;605;165;0;770;242;0;8;234;71;47;11;62;13;3;0;11;2;0;14;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2141;2141 Freiligrathstr.;15.09.2025 09:03:13 809;745;159;0;904;286;0;4;282;65;56;11;94;18;6;0;13;8;5;6;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2142;2142 Sonntagstr.;15.09.2025 09:03:13 809;920;289;0;1209;385;0;4;381;98;62;30;145;8;6;0;17;4;7;2;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2143;2143 Wilhelm-Leuschner-Str.;15.09.2025 09:03:13 809;755;185;0;940;320;0;2;318;96;61;12;88;11;9;0;19;9;2;8;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2144;2144 Hügelstr.;15.09.2025 09:03:13 809;738;399;0;1137;305;3;6;299;128;52;23;58;3;11;0;9;4;6;4;1;0
