version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6002;6002 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;412;412;1;411;118;84;36;62;14;2;22;6;12;4;2;49
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6003;6003 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;493;493;3;490;130;91;50;85;19;23;18;3;19;10;0;42
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6004;6004 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;462;462;0;462;126;107;34;85;25;12;16;4;15;1;5;32
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6005;6005 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;404;404;3;401;23;48;7;19;5;2;8;3;26;17;1;242
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6006;6006 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;515;515;4;511;94;61;25;48;29;5;24;4;26;7;0;188
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6007;6007 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;349;349;0;349;55;51;22;52;5;1;12;2;29;4;5;111
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6008;6008 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;415;415;5;410;136;67;35;70;8;5;11;3;8;2;0;65
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6009;6009 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;976;976;47;929;302;195;128;139;36;53;22;11;12;4;4;23
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6010;6010 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;653;653;6;647;257;113;65;81;36;35;20;4;12;8;1;15
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6011;6011 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;1023;1023;22;1001;357;225;93;141;27;64;23;18;15;10;3;25
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6012;6012 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;489;489;1;488;143;120;36;85;23;42;11;4;10;5;2;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6013;6013 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;962;962;5;957;325;235;99;146;34;44;28;6;12;7;2;19
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6014;6014 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;626;626;2;624;218;155;55;82;28;35;10;4;8;9;6;14
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6015;6015 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;767;767;5;762;212;182;47;125;25;26;43;8;27;8;3;56
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6016;6016 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;394;394;2;392;85;81;39;79;18;10;32;3;13;3;3;26
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6017;6017 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;259;259;2;257;39;46;25;42;8;1;26;5;25;2;1;37
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6018;6018 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;601;601;1;600;142;131;86;84;44;27;31;9;13;2;3;28
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6019;6019 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;623;623;3;620;188;158;58;86;18;23;19;6;13;3;2;46
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6020;6020 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;381;381;0;381;51;74;30;37;8;9;28;8;32;10;3;91
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6039;6039 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;179;179;1;178;30;29;16;36;7;2;13;2;6;9;1;27
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2111;2111 Brockhausen;15.09.2025 09:03:13 809;802;183;0;985;215;5;2;213;34;51;14;63;9;13;1;4;3;0;;21
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2112;2112 Niedernhofstr.;15.09.2025 09:03:13 809;680;240;0;920;284;0;3;281;100;36;18;88;12;6;3;11;2;2;;3
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2113;2113 Hilgenland;15.09.2025 09:03:13 809;620;196;0;816;223;1;10;213;70;42;7;67;11;8;1;5;0;1;;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2114;2114 Hagener Str.;15.09.2025 09:03:13 809;919;378;0;1297;462;2;6;456;189;69;26;119;9;14;9;7;3;3;;8
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2115;2115 Boele Kirche;15.09.2025 09:03:13 809;799;210;0;1009;271;;10;261;90;42;12;89;5;11;1;4;1;1;;5
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2116;2116 Allensteiner Str. / Hengstey;15.09.2025 09:03:13 809;744;277;0;1021;304;0;1;303;89;37;23;105;15;10;6;8;2;4;;4
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2121;2121 Fritz-Steinhoff-Schule;15.09.2025 09:03:13 809;970;158;0;1128;303;1;7;296;52;61;21;115;8;10;1;9;8;6;;5
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2122;2122 Borgenfeldstr.;15.09.2025 09:03:13 809;668;155;0;823;223;;2;221;62;31;13;79;1;12;8;11;2;0;;2
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2123;2123 Knüwenstr.;15.09.2025 09:03:13 809;722;167;0;889;225;0;2;223;46;51;7;78;10;13;1;8;0;2;;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2124;2124 Steinhausstr.;15.09.2025 09:03:13 809;704;189;0;893;160;1;9;151;35;41;1;49;8;6;0;2;1;2;;6
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2125;2125 Bathey;15.09.2025 09:03:13 809;504;153;0;657;238;2;6;232;55;39;14;81;10;10;3;14;1;1;;4
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2126;2126 Garenfeld;15.09.2025 09:03:13 809;1020;404;0;1424;589;0;6;583;220;107;41;140;18;20;10;12;4;4;;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2131;2131 Helfer Str.;15.09.2025 09:03:13 809;680;225;0;905;274;0;2;272;76;38;24;103;5;10;4;2;0;2;;8
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2132;2132 AWO-Heim Helfe;15.09.2025 09:03:13 809;853;190;0;1043;289;0;6;283;74;48;19;110;3;8;2;5;2;5;;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2133;2133 Louise-Schröder-Str.;15.09.2025 09:03:13 809;710;193;0;903;280;0;1;279;87;37;6;95;7;4;3;8;1;0;;31
