datum;ags;Strassen-Name;Hausnummern-Bereich;PLZ;Ortsteil;Bezirk-Nr
13.09.2020;05914000;Dr.-Lammert-Weg;;;;2114
13.09.2020;05914000;Drosselweg;;;;3194
13.09.2020;05914000;Droste-Hülshoff-Str.;;;;2153
13.09.2020;05914000;Drostenhof;;;;3181
13.09.2020;05914000;Düinghausen;;;;4223
13.09.2020;05914000;Düinghauser Weg;;;;4223
13.09.2020;05914000;Dümpelstr.;;;;3161
13.09.2020;05914000;Dünne Eichen;;;;4213
13.09.2020;05914000;Düppelstr.;2-31;;;1031
13.09.2020;05914000;Düppelstr.;1;;;1033
13.09.2020;05914000;Düppenbeckerstr.;;;;1014
13.09.2020;05914000;Dürerstr.;;;;3165
13.09.2020;05914000;Düsternstr.;;;;3161
13.09.2020;05914000;Ebendstr.;;;;3182
13.09.2020;05914000;Eckenerstr.;;;;1073
13.09.2020;05914000;Eckeseyer Str.;1-133,135;;;1031
13.09.2020;05914000;Eckeseyer Str.;134-144 ger.,145-204;;;2153
13.09.2020;05914000;Eduard-Müller-Str.;1-11 ung.;;;1051
13.09.2020;05914000;Eduard-Müller-Str.;12-22;;;1022
13.09.2020;05914000;Eduard-Müller-Str.;4-8 ger.;;;1024
13.09.2020;05914000;Egge;;;;5255
13.09.2020;05914000;Eibenweg;;;;2154
13.09.2020;05914000;Eichendorffstr.;;;;2153
13.09.2020;05914000;Eichenkampstr.;;;;5242
13.09.2020;05914000;Eichenweg;;;;3192
13.09.2020;05914000;Eickertstr.;4,6;;;1014
13.09.2020;05914000;Eickertstr.;1-15 ung.,16-25;;;1083
13.09.2020;05914000;Eickertstr.;29-71;;;1085
13.09.2020;05914000;Eifelstr.;;;;3161
13.09.2020;05914000;Eilper Hangstieg;;;;4212
13.09.2020;05914000;Eilper Str.;20-62 ger.;;;4203
13.09.2020;05914000;Eilper Str.;23-33 ung.;;;4214
13.09.2020;05914000;Eilper Str.;47-99 ung.;;;4204
13.09.2020;05914000;Eilper Str.;70-106 ger.,107-128;;;4202
13.09.2020;05914000;Einhausstr.;;;;2116
13.09.2020;05914000;Eisenstr.;;;;5265
13.09.2020;05914000;Eiskeller;;;;4225
13.09.2020;05914000;Elberfelder Str.;20-89,92,94;;;1011
13.09.2020;05914000;Elberfelder Str.;15,19,91-113 ung.;;;1012
13.09.2020;05914000;Elberfelder Str.;6-12,16;;;1013
13.09.2020;05914000;Elbersstiege;;;;1014
13.09.2020;05914000;Elbersufer;6-10;;;1014
13.09.2020;05914000;Elbersufer;12-30;;;1021
13.09.2020;05914000;Elfenweg;;;;5261
13.09.2020;05914000;Elfriedenhöhe;;;;1013
13.09.2020;05914000;Elisabethstr.;;;;4201
13.09.2020;05914000;Elmarweg;;;;4211
13.09.2020;05914000;Elmenhorststr.;25-83 ung.;;;1075
13.09.2020;05914000;Elmenhorststr.;24-88 ger.,89-102;;;1074
13.09.2020;05914000;Elsa-Brändström-Weg;;;;1094
13.09.2020;05914000;Elsässer Str.;;;;4215
13.09.2020;05914000;Elsenbornstr.;;;;1061
13.09.2020;05914000;Elseyer Dorfplatz;;;;3175
13.09.2020;05914000;Elseyer Kirchplatz;;;;3192
13.09.2020;05914000;Elseyer Str.;;;;3192
13.09.2020;05914000;Elsternweg;;;;3194
13.09.2020;05914000;Emilienplatz;2-15;;;1021
13.09.2020;05914000;Emilienplatz;16;;;1022
13.09.2020;05914000;Emster Siepen;;;;1072
13.09.2020;05914000;Emster Str.;1-47,49-77 ung.;;;1062
13.09.2020;05914000;Emster Str.;48-70 ger.;;;1061
13.09.2020;05914000;Emster Str.;72-80 ger.,81-107;;;1072
13.09.2020;05914000;Endte;;;;4225
13.09.2020;05914000;Enneper Str.;2-26,36-46 ger.;;;5242
13.09.2020;05914000;Enneper Str.;31-39 ung.,48-170;;;5265
13.09.2020;05914000;Eppenhauser Str.;58-130 ger.;;;1062
13.09.2020;05914000;Eppenhauser Str.;135-195;;;1063
13.09.2020;05914000;Eppenhauser Str.;1-55,59-63 ung.;;;1085
13.09.2020;05914000;Eppenhauser Str.;73-125 ung.;;;1065
13.09.2020;05914000;Erftstr.;;;;1033
13.09.2020;05914000;Ergster Weg;;;;3164
13.09.2020;05914000;Erikastr.;2-8 ger.;;;1081
13.09.2020;05914000;Erikastr.;1-17 ung.;;;1084
13.09.2020;05914000;Erlacker;;;;3171
13.09.2020;05914000;Erleystr.;;;;5252
13.09.2020;05914000;Erlhagen;;;;2134
13.09.2020;05914000;Ernst-Eversbusch-Str.;;;;5242
13.09.2020;05914000;Ernststr.;;;;5243
13.09.2020;05914000;Erzstr.;;;;5244
13.09.2020;05914000;Eschenweg;;;;2132
13.09.2020;05914000;Espenweg;;;;2154
13.09.2020;05914000;Esserstr.;4-22 ger.;;;3175
13.09.2020;05914000;Esserstr.;3-25 ung.,26-40;;;3192
13.09.2020;05914000;Eugen-Richter-Str.;1-20,22-58 ger.;;;1092
13.09.2020;05914000;Eugen-Richter-Str.;21-59 ung.,60-100;;;1094
13.09.2020;05914000;Eupenstr.;;;;1061
13.09.2020;05914000;Everinghauser Str.;;;;4224
13.09.2020;05914000;Ewaldstr.;4-8;;;1091
13.09.2020;05914000;Ewaldstr.;20-27;;;1094
13.09.2020;05914000;Exterweg;;;;3162
13.09.2020;05914000;Fabrikstr.;;;;3185
13.09.2020;05914000;Fahrenbecke;;;;1052
13.09.2020;05914000;Fährstr.;;;;3181
13.09.2020;05914000;Falkenstr.;;;;1094
13.09.2020;05914000;Färberstr.;;;;3191
13.09.2020;05914000;Fasanenweg;;;;3165
